24. June 2018 | 09:58:40 | - WarnPlayers = 0
24. June 2018 | 09:58:40 | - SingleplayerCheats = 1
24. June 2018 | 09:58:40 | - MinFPS = 2
24. June 2018 | 09:58:40 | - DisableBadWeapons = 1
24. June 2018 | 09:58:40 | - CBug = 16
24. June 2018 | 09:58:40 | - AntiBugKill = 1
24. June 2018 | 09:58:40 | - NoReload = 20
24. June 2018 | 09:58:40 | - NoReloadForSawnOff = 4
24. June 2018 | 09:58:40 | - ActiveGMC = 2
24. June 2018 | 09:58:40 | - GMCBan = 0
24. June 2018 | 09:58:41 | - ServerSideHealth = 1
24. June 2018 | 09:58:41 | - CheckVMPos = 0
24. June 2018 | 09:58:41 | - QuickTurn = 1
24. June 2018 | 09:58:41 | 1 IP-bans have been loaded.
24. June 2018 | 09:58:41 | 0 temporary bans have been loaded.
24. June 2018 | 09:58:41 | 1 whitelist entries have been loaded.
24. June 2018 | 09:58:41 | 4 blacklist entries have been loaded.
24. June 2018 | 09:58:41 | 41 bad words have been loaded.
24. June 2018 | 09:58:41 | 4 forbidden weapons have been loaded.
24. June 2018 | 09:58:41 | JunkBuster has been configurated.
24. June 2018 | 09:58:41 | JunkBuster has successfully been loaded.
24. June 2018 | 18:29:54 | Current JunkBuster configuration:
24. June 2018 | 18:29:54 | - WeaponHack = 1
24. June 2018 | 18:29:54 | - MoneyHack = 1
24. June 2018 | 18:29:54 | - Jetpack = 1
24. June 2018 | 18:29:54 | - HealthHack = 1
24. June 2018 | 18:29:54 | - ArmourHack = 1
24. June 2018 | 18:29:54 | - DriveBy = 2
24. June 2018 | 18:29:54 | - Spam = 0
24. June 2018 | 18:29:54 | - CommandSpam = 0
24. June 2018 | 18:29:54 | - BadWords = 0
24. June 2018 | 18:29:54 | - CarJackHack = 1
24. June 2018 | 18:29:54 | - TeleportHack = 1
24. June 2018 | 18:29:54 | - MaxPing = 1000
24. June 2018 | 18:29:54 | - SpectateHack = 0
24. June 2018 | 18:29:54 | - Blacklist = 1
24. June 2018 | 18:29:54 | - IpBans = 1
24. June 2018 | 18:29:54 | - TempBans = 1
24. June 2018 | 18:29:54 | - SpawnKill = 3
24. June 2018 | 18:29:54 | - CapsLock = 1
24. June 2018 | 18:29:54 | - 3DSpeed = 0
24. June 2018 | 18:29:54 | - MaxSpeed = 230
24. June 2018 | 18:29:54 | - AdminImmunity = 1
24. June 2018 | 18:29:54 | - Advertisement = 1
24. June 2018 | 18:29:54 | - FreezeUpdate = 0
24. June 2018 | 18:29:54 | - SpawnTime = 10
24. June 2018 | 18:29:54 | - CheckpointTeleport = 1
24. June 2018 | 18:29:54 | - Airbreak = 1
24. June 2018 | 18:29:54 | - TankMode = 1
24. June 2018 | 18:29:54 | - WarnPlayers = 0
24. June 2018 | 18:29:54 | - SingleplayerCheats = 1
24. June 2018 | 18:29:54 | - MinFPS = 2
24. June 2018 | 18:29:54 | - DisableBadWeapons = 1
24. June 2018 | 18:29:54 | - CBug = 16
24. June 2018 | 18:29:54 | - AntiBugKill = 1
24. June 2018 | 18:29:54 | - NoReload = 20
24. June 2018 | 18:29:54 | - NoReloadForSawnOff = 4
24. June 2018 | 18:29:54 | - ActiveGMC = 2
24. June 2018 | 18:29:54 | - GMCBan = 0
24. June 2018 | 18:29:54 | - ServerSideHealth = 1
24. June 2018 | 18:29:54 | - CheckVMPos = 0
24. June 2018 | 18:29:54 | - QuickTurn = 1
24. June 2018 | 18:29:54 | 1 IP-bans have been loaded.
24. June 2018 | 18:29:54 | 0 temporary bans have been loaded.
24. June 2018 | 18:29:54 | 1 whitelist entries have been loaded.
24. June 2018 | 18:29:54 | 4 blacklist entries have been loaded.
24. June 2018 | 18:29:54 | 41 bad words have been loaded.
